municipality_number,municipality_name,year,sex,population
44001,Ababuj,1998,Ambos sexos,86
50001,Abanto,1998,Ambos sexos,189
44002,Abejuela,1998,Ambos sexos,61
22001,Abiego,1998,Ambos sexos,290
22002,Abizanda,1998,Ambos sexos,140
50002,Acered,1998,Ambos sexos,283
22003,Adahuesca,1998,Ambos sexos,158
50003,Agón,1998,Ambos sexos,198
50004,Aguarón,1998,Ambos sexos,716
44003,Aguatón,1998,Ambos sexos,26
44004,Aguaviva,1998,Ambos sexos,622
22004,Agüero,1998,Ambos sexos,157
44005,Aguilar del Alfambra,1998,Ambos sexos,84
50005,Aguilón,1998,Ambos sexos,267
22907,Aínsa-Sobrarbe,1998,Ambos sexos,1557
50006,Ainzón,1998,Ambos sexos,1236
22006,Aisa,1998,Ambos sexos,363
44006,Alacón,1998,Ambos sexos,470
50007,Aladrén,1998,Ambos sexos,59
50008,Alagón,1998,Ambos sexos,5552
50009,Alarba,1998,Ambos sexos,160
44007,Alba,1998,Ambos sexos,286
22007,Albalate de Cinca,1998,Ambos sexos,1090
44008,Albalate del Arzobispo,1998,Ambos sexos,2379
22008,Albalatillo,1998,Ambos sexos,270
44009,Albarracín,1998,Ambos sexos,1041
22009,Albelda,1998,Ambos sexos,962
44010,Albentosa,1998,Ambos sexos,272
50010,Alberite de San Juan,1998,Ambos sexos,105
22011,Albero Alto,1998,Ambos sexos,100
22012,Albero Bajo,1998,Ambos sexos,119
22013,Alberuela de Tubo,1998,Ambos sexos,388
50011,Albeta,1998,Ambos sexos,122
50012,Alborge,1998,Ambos sexos,136
44011,Alcaine,1998,Ambos sexos,56
50013,Alcalá de Ebro,1998,Ambos sexos,299
22014,Alcalá de Gurrea,1998,Ambos sexos,342
44012,Alcalá de la Selva,1998,Ambos sexos,453
50014,Alcalá de Moncayo,1998,Ambos sexos,151
22015,Alcalá del Obispo,1998,Ambos sexos,355
22016,Alcampell,1998,Ambos sexos,950
44013,Alcañiz,1998,Ambos sexos,12823
22017,Alcolea de Cinca,1998,Ambos sexos,1237
50015,Alconchel de Ariza,1998,Ambos sexos,171
44014,Alcorisa,1998,Ambos sexos,3296
22018,Alcubierre,1998,Ambos sexos,467
50016,Aldehuela de Liestos,1998,Ambos sexos,61
22019,Alerre,1998,Ambos sexos,181
50017,Alfajarín,1998,Ambos sexos,1460
44016,Alfambra,1998,Ambos sexos,682
50018,Alfamén,1998,Ambos sexos,1307
22020,Alfántega,1998,Ambos sexos,128
50019,Alforque,1998,Ambos sexos,90
50020,Alhama de Aragón,1998,Ambos sexos,1204
44017,Aliaga,1998,Ambos sexos,422
44021,Allepuz,1998,Ambos sexos,144
44022,Alloza,1998,Ambos sexos,817
44023,Allueva,1998,Ambos sexos,14
50021,Almochuel,1998,Ambos sexos,43
44018,Almohaja,1998,Ambos sexos,31
50022,Almolda (La),1998,Ambos sexos,712
50023,Almonacid de la Cuba,1998,Ambos sexos,350
50024,Almonacid de la Sierra,1998,Ambos sexos,854
22021,Almudévar,1998,Ambos sexos,2373
50025,Almunia de Doña Godina (La),1998,Ambos sexos,5383
22022,Almunia de San Juan,1998,Ambos sexos,709
22023,Almuniente,1998,Ambos sexos,619
44019,Alobras,1998,Ambos sexos,94
50026,Alpartir,1998,Ambos sexos,622
44020,Alpeñés,1998,Ambos sexos,31
22024,Alquézar,1998,Ambos sexos,304
22025,Altorricón,1998,Ambos sexos,1448
50027,Ambel,1998,Ambos sexos,359
44024,Anadón,1998,Ambos sexos,19
44025,Andorra,1998,Ambos sexos,8174
50028,Anento,1998,Ambos sexos,74
22027,Angüés,1998,Ambos sexos,429
50029,Aniñón,1998,Ambos sexos,901
22028,Ansó,1998,Ambos sexos,527
22029,Antillón,1998,Ambos sexos,161
50030,Añón de Moncayo,1998,Ambos sexos,315
22032,Aragüés del Puerto,1998,Ambos sexos,138
50031,Aranda de Moncayo,1998,Ambos sexos,239
50032,Arándiga,1998,Ambos sexos,524
44026,Arcos de las Salinas,1998,Ambos sexos,163
50033,Ardisa,1998,Ambos sexos,82
22035,Arén,1998,Ambos sexos,398
44027,Arens de Lledó,1998,Ambos sexos,240
22036,Argavieso,1998,Ambos sexos,127
44028,Argente,1998,Ambos sexos,269
22037,Arguis,1998,Ambos sexos,57
44029,Ariño,1998,Ambos sexos,916
50034,Ariza,1998,Ambos sexos,1334
50035,Artieda,1998,Ambos sexos,103
50036,Asín,1998,Ambos sexos,101
50037,Atea,1998,Ambos sexos,245
50038,Ateca,1998,Ambos sexos,2044
22039,Ayerbe,1998,Ambos sexos,1116
44031,Azaila,1998,Ambos sexos,184
22040,Azanuy-Alins,1998,Ambos sexos,203
22041,Azara,1998,Ambos sexos,224
22042,Azlor,1998,Ambos sexos,166
50039,Azuara,1998,Ambos sexos,725
44032,Bádenas,1998,Ambos sexos,25
50040,Badules,1998,Ambos sexos,116
22043,Baélls,1998,Ambos sexos,157
44033,Báguena,1998,Ambos sexos,524
50041,Bagüés,1998,Ambos sexos,34
22044,Bailo,1998,Ambos sexos,321
50042,Balconchán,1998,Ambos sexos,30
22045,Baldellou,1998,Ambos sexos,156
22046,Ballobar,1998,Ambos sexos,1084
22047,Banastás,1998,Ambos sexos,177
44034,Bañón,1998,Ambos sexos,180
22048,Barbastro,1998,Ambos sexos,14462
50043,Bárboles,1998,Ambos sexos,329
22049,Barbués,1998,Ambos sexos,119
22050,Barbuñales,1998,Ambos sexos,109
22051,Bárcabo,1998,Ambos sexos,120
50044,Bardallur,1998,Ambos sexos,308
44035,Barrachina,1998,Ambos sexos,170
44036,Bea,1998,Ambos sexos,46
44037,Beceite,1998,Ambos sexos,654
50045,Belchite,1998,Ambos sexos,1625
44039,Bello,1998,Ambos sexos,408
50046,Belmonte de Gracián,1998,Ambos sexos,302
44038,Belmonte de San José,1998,Ambos sexos,159
22052,Belver de Cinca,1998,Ambos sexos,1397
22053,Benabarre,1998,Ambos sexos,1166
22054,Benasque,1998,Ambos sexos,1312
22246,Beranuy,1998,Ambos sexos,116
22055,Berbegal,1998,Ambos sexos,476
50047,Berdejo,1998,Ambos sexos,51
44040,Berge,1998,Ambos sexos,223
50048,Berrueco,1998,Ambos sexos,41
44041,Bezas,1998,Ambos sexos,69
50901,Biel,1998,Ambos sexos,200
22057,Bielsa,1998,Ambos sexos,461
22058,Bierge,1998,Ambos sexos,224
22059,Biescas,1998,Ambos sexos,1243
50050,Bijuesca,1998,Ambos sexos,135
22060,Binaced,1998,Ambos sexos,1597
22061,Binéfar,1998,Ambos sexos,8115
50051,Biota,1998,Ambos sexos,1261
22062,Bisaurri,1998,Ambos sexos,220
22063,Biscarrués,1998,Ambos sexos,227
50052,Bisimbre,1998,Ambos sexos,135
44042,Blancas,1998,Ambos sexos,196
22064,Blecua y Torres,1998,Ambos sexos,178
44043,Blesa,1998,Ambos sexos,156
22066,Boltaña,1998,Ambos sexos,846
22067,Bonansa,1998,Ambos sexos,74
50053,Boquiñeni,1998,Ambos sexos,1006
22068,Borau,1998,Ambos sexos,76
50054,Bordalba,1998,Ambos sexos,98
44044,Bordón,1998,Ambos sexos,145
50055,Borja,1998,Ambos sexos,3999
50056,Botorrita,1998,Ambos sexos,471
50057,Brea de Aragón,1998,Ambos sexos,2022
44045,Bronchales,1998,Ambos sexos,441
22069,Broto,1998,Ambos sexos,511
50058,Bubierca,1998,Ambos sexos,106
44046,Bueña,1998,Ambos sexos,107
50059,Bujaraloz,1998,Ambos sexos,1018
50060,Bulbuente,1998,Ambos sexos,253
44047,Burbáguena,1998,Ambos sexos,332
50061,Bureta,1998,Ambos sexos,327
50062,Burgo de Ebro (El),1998,Ambos sexos,1493
50063,Buste (El),1998,Ambos sexos,114
50064,Cabañas de Ebro,1998,Ambos sexos,517
50065,Cabolafuente,1998,Ambos sexos,99
44048,Cabra de Mora,1998,Ambos sexos,106
50066,Cadrete,1998,Ambos sexos,1367
44049,Calaceite,1998,Ambos sexos,1232
44050,Calamocha,1998,Ambos sexos,4016
44051,Calanda,1998,Ambos sexos,3531
50067,Calatayud,1998,Ambos sexos,16569
50068,Calatorao,1998,Ambos sexos,2719
50069,Calcena,1998,Ambos sexos,95
22072,Caldearenas,1998,Ambos sexos,260
50070,Calmarza,1998,Ambos sexos,99
44052,Calomarde,1998,Ambos sexos,87
44053,Camañas,1998,Ambos sexos,142
44054,Camarena de la Sierra,1998,Ambos sexos,171
44055,Camarillas,1998,Ambos sexos,124
44056,Caminreal,1998,Ambos sexos,817
50071,Campillo de Aragón,1998,Ambos sexos,200
22074,Campo,1998,Ambos sexos,360
22075,Camporrélls,1998,Ambos sexos,254
22076,Canal de Berdún,1998,Ambos sexos,433
22077,Candasnos,1998,Ambos sexos,569
22078,Canfranc,1998,Ambos sexos,526
44059,Cantavieja,1998,Ambos sexos,726
44060,Cañada de Benatanduz,1998,Ambos sexos,65
44061,Cañada de Verich (La),1998,Ambos sexos,110
44062,Cañada Vellida,1998,Ambos sexos,61
44063,Cañizar del Olivar,1998,Ambos sexos,128
22079,Capdesaso,1998,Ambos sexos,177
22080,Capella,1998,Ambos sexos,402
50072,Carenas,1998,Ambos sexos,241
50073,Cariñena,1998,Ambos sexos,2893
22081,Casbas de Huesca,1998,Ambos sexos,308
44064,Cascante del Río,1998,Ambos sexos,128
50074,Caspe,1998,Ambos sexos,7750
50075,Castejón de Alarba,1998,Ambos sexos,122
50076,Castejón de las Armas,1998,Ambos sexos,143
22083,Castejón de Monegros,1998,Ambos sexos,723
22084,Castejón de Sos,1998,Ambos sexos,532
44065,Castejón de Tornos,1998,Ambos sexos,109
50077,Castejón de Valdejasa,1998,Ambos sexos,341
22082,Castejón del Puente,1998,Ambos sexos,400
44066,Castel de Cabra,1998,Ambos sexos,183
22085,Castelflorite,1998,Ambos sexos,152
44070,Castellar (El),1998,Ambos sexos,105
44071,Castellote,1998,Ambos sexos,744
44067,Castelnou,1998,Ambos sexos,104
44068,Castelserás,1998,Ambos sexos,870
22086,Castiello de Jaca,1998,Ambos sexos,160
22087,Castigaleu,1998,Ambos sexos,104
50078,Castiliscar,1998,Ambos sexos,409
22088,Castillazuelo,1998,Ambos sexos,233
22089,Castillonroy,1998,Ambos sexos,423
44074,Cedrillas,1998,Ambos sexos,544
44075,Celadas,1998,Ambos sexos,422
44076,Cella,1998,Ambos sexos,2953
44077,Cerollera (La),1998,Ambos sexos,84
50079,Cervera de la Cañada,1998,Ambos sexos,354
50080,Cerveruela,1998,Ambos sexos,6
50081,Cetina,1998,Ambos sexos,736
22094,Chalamera,1998,Ambos sexos,166
22095,Chía,1998,Ambos sexos,115
22096,Chimillas,1998,Ambos sexos,177
50092,Chiprana,1998,Ambos sexos,390
50093,Chodes,1998,Ambos sexos,126
50082,Cimballa,1998,Ambos sexos,135
50083,Cinco Olivas,1998,Ambos sexos,130
50084,Clarés de Ribota,1998,Ambos sexos,99
50085,Codo,1998,Ambos sexos,282
44080,Codoñera (La),1998,Ambos sexos,352
50086,Codos,1998,Ambos sexos,290
22090,Colungo,1998,Ambos sexos,124
50087,Contamina,1998,Ambos sexos,56
44082,Corbalán,1998,Ambos sexos,70
44084,Cortes de Aragón,1998,Ambos sexos,134
44085,Cosa,1998,Ambos sexos,106
50088,Cosuenda,1998,Ambos sexos,422
44086,Cretas,1998,Ambos sexos,631
44087,Crivillén,1998,Ambos sexos,133
50089,Cuarte de Huerva,1998,Ambos sexos,1746
44088,Cuba (La),1998,Ambos sexos,66
50090,Cubel,1998,Ambos sexos,242
44089,Cubla,1998,Ambos sexos,56
44090,Cucalón,1998,Ambos sexos,80
50091,Cuerlas (Las),1998,Ambos sexos,101
44092,Cuervo (El),1998,Ambos sexos,131
44093,Cuevas de Almudén,1998,Ambos sexos,106
44094,Cuevas Labradas,1998,Ambos sexos,173
50094,Daroca,1998,Ambos sexos,2309
50095,Ejea de los Caballeros,1998,Ambos sexos,14734
44096,Ejulve,1998,Ambos sexos,224
50096,Embid de Ariza,1998,Ambos sexos,65
50098,Encinacorba,1998,Ambos sexos,325
50099,Épila,1998,Ambos sexos,3959
50100,Erla,1998,Ambos sexos,479
50101,Escatrón,1998,Ambos sexos,1209
44097,Escorihuela,1998,Ambos sexos,236
44099,Escucha,1998,Ambos sexos,1146
22099,Esplús,1998,Ambos sexos,797
22102,Estada,1998,Ambos sexos,185
22103,Estadilla,1998,Ambos sexos,928
44100,Estercuel,1998,Ambos sexos,373
22105,Estopiñán del Castillo,1998,Ambos sexos,188
50102,Fabara,1998,Ambos sexos,1239
22106,Fago,1998,Ambos sexos,40
22107,Fanlo,1998,Ambos sexos,118
50104,Farlete,1998,Ambos sexos,463
50105,Fayón,1998,Ambos sexos,392
50106,Fayos (Los),1998,Ambos sexos,194
44101,Ferreruela de Huerva,1998,Ambos sexos,84
50107,Figueruelas,1998,Ambos sexos,997
22109,Fiscal,1998,Ambos sexos,229
50108,Fombuena,1998,Ambos sexos,21
44102,Fonfría,1998,Ambos sexos,33
22110,Fonz,1998,Ambos sexos,1123
22111,Foradada del Toscar,1998,Ambos sexos,252
44103,Formiche Alto,1998,Ambos sexos,196
44105,Fórnoles,1998,Ambos sexos,101
44106,Fortanete,1998,Ambos sexos,195
44107,Foz-Calanda,1998,Ambos sexos,240
22112,Fraga,1998,Ambos sexos,11804
50109,Frago (El),1998,Ambos sexos,99
50110,Frasno (El),1998,Ambos sexos,555
50111,Fréscano,1998,Ambos sexos,261
44108,Fresneda (La),1998,Ambos sexos,418
44109,Frías de Albarracín,1998,Ambos sexos,179
50113,Fuendejalón,1998,Ambos sexos,908
50114,Fuendetodos,1998,Ambos sexos,145
44110,Fuenferrada,1998,Ambos sexos,50
44111,Fuentes Calientes,1998,Ambos sexos,142
44112,Fuentes Claras,1998,Ambos sexos,665
50115,Fuentes de Ebro,1998,Ambos sexos,3771
50116,Fuentes de Jiloca,1998,Ambos sexos,370
44113,Fuentes de Rubielos,1998,Ambos sexos,86
44114,Fuentespalda,1998,Ambos sexos,365
22113,Fueva (La),1998,Ambos sexos,626
50117,Gallocanta,1998,Ambos sexos,186
50118,Gallur,1998,Ambos sexos,2948
44115,Galve,1998,Ambos sexos,142
44116,Gargallo,1998,Ambos sexos,131
44117,Gea de Albarracín,1998,Ambos sexos,473
50119,Gelsa,1998,Ambos sexos,1238
44118,Ginebrosa (La),1998,Ambos sexos,262
22114,Gistaín,1998,Ambos sexos,181
50120,Godojos,1998,Ambos sexos,71
50121,Gotor,1998,Ambos sexos,384
22115,Grado (El),1998,Ambos sexos,571
22116,Grañén,1998,Ambos sexos,2006
22117,Graus,1998,Ambos sexos,3232
44119,Griegos,1998,Ambos sexos,143
50122,Grisel,1998,Ambos sexos,68
50123,Grisén,1998,Ambos sexos,478
44120,Guadalaviar,1998,Ambos sexos,288
44121,Gúdar,1998,Ambos sexos,76
22119,Gurrea de Gállego,1998,Ambos sexos,1871
50124,Herrera de los Navarros,1998,Ambos sexos,590
44122,Híjar,1998,Ambos sexos,1949
44123,Hinojosa de Jarque,1998,Ambos sexos,183
22122,Hoz de Jaca,1998,Ambos sexos,76
44124,Hoz de la Vieja (La),1998,Ambos sexos,139
22908,Hoz y Costean,1998,Ambos sexos,268
22124,Huerto,1998,Ambos sexos,275
44125,Huesa del Común,1998,Ambos sexos,136
22125,Huesca,1998,Ambos sexos,45485
50125,Ibdes,1998,Ambos sexos,589
22126,Ibieca,1998,Ambos sexos,105
44126,Iglesuela del Cid (La),1998,Ambos sexos,486
22127,Igriés,1998,Ambos sexos,185
22128,Ilche,1998,Ambos sexos,284
50126,Illueca,1998,Ambos sexos,3310
22129,Isábena,1998,Ambos sexos,257
50128,Isuerre,1998,Ambos sexos,64
44127,Jabaloyas,1998,Ambos sexos,94
22130,Jaca,1998,Ambos sexos,11197
50129,Jaraba,1998,Ambos sexos,316
44128,Jarque de la Val,1998,Ambos sexos,102
50130,Jarque de Moncayo,1998,Ambos sexos,581
22131,Jasa,1998,Ambos sexos,124
44129,Jatiel,1998,Ambos sexos,70
50131,Jaulín,1998,Ambos sexos,309
44130,Jorcas,1998,Ambos sexos,52
44131,Josa,1998,Ambos sexos,45
50132,Joyosa (La),1998,Ambos sexos,363
22133,Labuerda,1998,Ambos sexos,165
50133,Lagata,1998,Ambos sexos,154
44132,Lagueruela,1998,Ambos sexos,70
22135,Laluenga,1998,Ambos sexos,265
22136,Lalueza,1998,Ambos sexos,1267
22137,Lanaja,1998,Ambos sexos,1605
50134,Langa del Castillo,1998,Ambos sexos,190
44133,Lanzuela,1998,Ambos sexos,30
22139,Laperdiguera,1998,Ambos sexos,102
22141,Lascellas-Ponzano,1998,Ambos sexos,164
22142,Lascuarre,1998,Ambos sexos,170
22143,Laspaúles,1998,Ambos sexos,284
22144,Laspuña,1998,Ambos sexos,268
50135,Layana,1998,Ambos sexos,153
50136,Lécera,1998,Ambos sexos,860
50138,Lechón,1998,Ambos sexos,53
50137,Leciñena,1998,Ambos sexos,1387
50139,Letux,1998,Ambos sexos,498
44135,Libros,1998,Ambos sexos,166
44136,Lidón,1998,Ambos sexos,83
44137,Linares de Mora,1998,Ambos sexos,307
50140,Litago,1998,Ambos sexos,181
50141,Lituénigo,1998,Ambos sexos,117
44141,Lledó,1998,Ambos sexos,210
22149,Loarre,1998,Ambos sexos,396
50142,Lobera de Onsella,1998,Ambos sexos,57
50143,Longares,1998,Ambos sexos,861
50144,Longás,1998,Ambos sexos,41
22150,Loporzano,1998,Ambos sexos,524
22151,Loscorrales,1998,Ambos sexos,129
44138,Loscos,1998,Ambos sexos,214
50146,Lucena de Jalón,1998,Ambos sexos,264
50147,Luceni,1998,Ambos sexos,1063
50148,Luesia,1998,Ambos sexos,425
50149,Luesma,1998,Ambos sexos,23
50150,Lumpiaque,1998,Ambos sexos,945
50151,Luna,1998,Ambos sexos,932
22905,Lupiñén-Ortilla,1998,Ambos sexos,360
50152,Maella,1998,Ambos sexos,2027
50153,Magallón,1998,Ambos sexos,1218
44142,Maicas,1998,Ambos sexos,25
50154,Mainar,1998,Ambos sexos,184
50155,Malanquilla,1998,Ambos sexos,129
50156,Maleján,1998,Ambos sexos,311
50160,Mallén,1998,Ambos sexos,2935
50157,Malón,1998,Ambos sexos,479
50159,Maluenda,1998,Ambos sexos,1012
50161,Manchones,1998,Ambos sexos,157
44143,Manzanera,1998,Ambos sexos,481
50162,Mara,1998,Ambos sexos,216
50163,María de Huerva,1998,Ambos sexos,868
50902,Marracos,1998,Ambos sexos,70
44144,Martín del Río,1998,Ambos sexos,491
44145,Mas de las Matas,1998,Ambos sexos,1478
44146,Mata de los Olmos (La),1998,Ambos sexos,276
44147,Mazaleón,1998,Ambos sexos,600
50164,Mediana de Aragón,1998,Ambos sexos,506
50165,Mequinenza,1998,Ambos sexos,2544
50166,Mesones de Isuela,1998,Ambos sexos,388
50167,Mezalocha,1998,Ambos sexos,316
44148,Mezquita de Jarque,1998,Ambos sexos,143
50168,Mianos,1998,Ambos sexos,39
50169,Miedes de Aragón,1998,Ambos sexos,521
44149,Mirambel,1998,Ambos sexos,146
44150,Miravete de la Sierra,1998,Ambos sexos,51
44151,Molinos,1998,Ambos sexos,342
50170,Monegrillo,1998,Ambos sexos,551
22155,Monesma y Cajigar,1998,Ambos sexos,106
50171,Moneva,1998,Ambos sexos,111
22156,Monflorite-Lascasas,1998,Ambos sexos,192
44152,Monforte de Moyuela,1998,Ambos sexos,84
50172,Monreal de Ariza,1998,Ambos sexos,317
44153,Monreal del Campo,1998,Ambos sexos,2301
44154,Monroyo,1998,Ambos sexos,381
44155,Montalbán,1998,Ambos sexos,1594
22157,Montanuy,1998,Ambos sexos,306
44156,Monteagudo del Castillo,1998,Ambos sexos,69
50173,Monterde,1998,Ambos sexos,223
44157,Monterde de Albarracín,1998,Ambos sexos,74
50174,Montón,1998,Ambos sexos,145
22158,Monzón,1998,Ambos sexos,14539
44158,Mora de Rubielos,1998,Ambos sexos,1378
50175,Morata de Jalón,1998,Ambos sexos,1546
50176,Morata de Jiloca,1998,Ambos sexos,355
50177,Morés,1998,Ambos sexos,507
50178,Moros,1998,Ambos sexos,533
44159,Moscardón,1998,Ambos sexos,56
44160,Mosqueruela,1998,Ambos sexos,695
50179,Moyuela,1998,Ambos sexos,356
50180,Mozota,1998,Ambos sexos,116
50181,Muel,1998,Ambos sexos,1135
50182,Muela (La),1998,Ambos sexos,1136
50183,Munébrega,1998,Ambos sexos,483
44161,Muniesa,1998,Ambos sexos,745
50184,Murero,1998,Ambos sexos,143
50185,Murillo de Gállego,1998,Ambos sexos,137
22160,Naval,1998,Ambos sexos,302
50186,Navardún,1998,Ambos sexos,61
50187,Nigüella,1998,Ambos sexos,119
44163,Noguera de Albarracín,1998,Ambos sexos,185
44164,Nogueras,1998,Ambos sexos,22
44165,Nogueruelas,1998,Ambos sexos,211
50188,Nombrevilla,1998,Ambos sexos,33
50189,Nonaspe,1998,Ambos sexos,1087
22162,Novales,1998,Ambos sexos,189
50190,Novallas,1998,Ambos sexos,758
50191,Novillas,1998,Ambos sexos,699
22163,Nueno,1998,Ambos sexos,215
50192,Nuévalos,1998,Ambos sexos,300
50193,Nuez de Ebro,1998,Ambos sexos,563
44167,Obón,1998,Ambos sexos,54
44168,Odón,1998,Ambos sexos,265
44169,Ojos Negros,1998,Ambos sexos,587
44171,Olba,1998,Ambos sexos,198
44172,Oliete,1998,Ambos sexos,490
44173,Olmos (Los),1998,Ambos sexos,152
22164,Olvena,1998,Ambos sexos,55
50194,Olvés,1998,Ambos sexos,171
22165,Ontiñena,1998,Ambos sexos,656
50195,Orcajo,1998,Ambos sexos,46
50196,Orera,1998,Ambos sexos,133
50197,Orés,1998,Ambos sexos,104
44174,Orihuela del Tremedal,1998,Ambos sexos,612
44175,Orrios,1998,Ambos sexos,194
50198,Oseja,1998,Ambos sexos,56
50199,Osera de Ebro,1998,Ambos sexos,345
22167,Osso de Cinca,1998,Ambos sexos,750
22168,Palo,1998,Ambos sexos,26
44176,Palomar de Arroyos,1998,Ambos sexos,264
44177,Pancrudo,1998,Ambos sexos,183
50200,Paniza,1998,Ambos sexos,711
22170,Panticosa,1998,Ambos sexos,647
50201,Paracuellos de Jiloca,1998,Ambos sexos,495
50202,Paracuellos de la Ribera,1998,Ambos sexos,314
44178,Parras de Castellote (Las),1998,Ambos sexos,94
50203,Pastriz,1998,Ambos sexos,936
50204,Pedrola,1998,Ambos sexos,2574
50205,Pedrosas (Las),1998,Ambos sexos,100
22172,Peñalba,1998,Ambos sexos,812
44179,Peñarroya de Tastavins,1998,Ambos sexos,538
22173,Peñas de Riglos (Las),1998,Ambos sexos,276
44180,Peracense,1998,Ambos sexos,117
44181,Peralejos,1998,Ambos sexos,96
44182,Perales del Alfambra,1998,Ambos sexos,299
22174,Peralta de Alcofea,1998,Ambos sexos,727
22175,Peralta de Calasanz,1998,Ambos sexos,292
22176,Peraltilla,1998,Ambos sexos,171
22177,Perarrúa,1998,Ambos sexos,135
50206,Perdiguera,1998,Ambos sexos,447
22178,Pertusa,1998,Ambos sexos,149
50207,Piedratajada,1998,Ambos sexos,194
50208,Pina de Ebro,1998,Ambos sexos,2208
50209,Pinseque,1998,Ambos sexos,1470
50210,Pintanos (Los),1998,Ambos sexos,84
22181,Piracés,1998,Ambos sexos,101
44183,Pitarque,1998,Ambos sexos,113
22182,Plan,1998,Ambos sexos,306
50211,Plasencia de Jalón,1998,Ambos sexos,370
50212,Pleitas,1998,Ambos sexos,69
50213,Plenas,1998,Ambos sexos,161
44184,Plou,1998,Ambos sexos,52
44185,Pobo (El),1998,Ambos sexos,156
22184,Poleñino,1998,Ambos sexos,252
50214,Pomer,1998,Ambos sexos,15
44187,Portellada (La),1998,Ambos sexos,328
22186,Pozán de Vero,1998,Ambos sexos,254
44189,Pozondón,1998,Ambos sexos,85
50215,Pozuel de Ariza,1998,Ambos sexos,25
44190,Pozuel del Campo,1998,Ambos sexos,113
50216,Pozuelo de Aragón,1998,Ambos sexos,350
50217,Pradilla de Ebro,1998,Ambos sexos,659
50218,Puebla de Albortón,1998,Ambos sexos,158
50219,Puebla de Alfindén (La),1998,Ambos sexos,1633
22187,Puebla de Castro (La),1998,Ambos sexos,306
44191,Puebla de Híjar (La),1998,Ambos sexos,1117
44192,Puebla de Valverde (La),1998,Ambos sexos,488
50220,Puendeluna,1998,Ambos sexos,58
22188,Puente de Montañana,1998,Ambos sexos,129
22902,Puente la Reina de Jaca,1998,Ambos sexos,241
22189,Puértolas,1998,Ambos sexos,213
44193,Puertomingalvo,1998,Ambos sexos,139
22190,Pueyo de Araguás (El),1998,Ambos sexos,163
22193,Pueyo de Santa Cruz,1998,Ambos sexos,359
50221,Purujosa,1998,Ambos sexos,39
22195,Quicena,1998,Ambos sexos,135
50222,Quinto,1998,Ambos sexos,2154
44194,Ráfales,1998,Ambos sexos,211
50223,Remolinos,1998,Ambos sexos,1257
50224,Retascón,1998,Ambos sexos,79
50225,Ricla,1998,Ambos sexos,1838
44195,Rillo,1998,Ambos sexos,144
44196,Riodeva,1998,Ambos sexos,228
22197,Robres,1998,Ambos sexos,690
44197,Ródenas,1998,Ambos sexos,93
50227,Romanos,1998,Ambos sexos,147
44198,Royuela,1998,Ambos sexos,241
44199,Rubiales,1998,Ambos sexos,61
44200,Rubielos de la Cérida,1998,Ambos sexos,60
44201,Rubielos de Mora,1998,Ambos sexos,617
50228,Rueda de Jalón,1998,Ambos sexos,371
50229,Ruesca,1998,Ambos sexos,92
50241,Sabiñán,1998,Ambos sexos,980
22199,Sabiñánigo,1998,Ambos sexos,8637
50230,Sádaba,1998,Ambos sexos,1683
22200,Sahún,1998,Ambos sexos,311
22201,Salas Altas,1998,Ambos sexos,389
22202,Salas Bajas,1998,Ambos sexos,173
44203,Salcedillo,1998,Ambos sexos,8
44204,Saldón,1998,Ambos sexos,43
22203,Salillas,1998,Ambos sexos,128
50231,Salillas de Jalón,1998,Ambos sexos,365
22204,Sallent de Gállego,1998,Ambos sexos,1016
50232,Salvatierra de Esca,1998,Ambos sexos,289
44205,Samper de Calanda,1998,Ambos sexos,1002
50233,Samper del Salz,1998,Ambos sexos,144
44206,San Agustín,1998,Ambos sexos,157
22205,San Esteban de Litera,1998,Ambos sexos,634
22207,San Juan de Plan,1998,Ambos sexos,162
50234,San Martín de la Virgen de Moncayo,1998,Ambos sexos,311
44207,San Martín del Río,1998,Ambos sexos,307
50235,San Mateo de Gállego,1998,Ambos sexos,2036
22903,San Miguel del Cinca,1998,Ambos sexos,903
22206,Sangarrén,1998,Ambos sexos,283
22208,Santa Cilia,1998,Ambos sexos,204
50236,Santa Cruz de Grío,1998,Ambos sexos,234
22209,Santa Cruz de la Serós,1998,Ambos sexos,155
50237,Santa Cruz de Moncayo,1998,Ambos sexos,107
44208,Santa Cruz de Nogueras,1998,Ambos sexos,28
44209,Santa Eulalia,1998,Ambos sexos,1241
50238,Santa Eulalia de Gállego,1998,Ambos sexos,133
22906,Santa María de Dulcis,1998,Ambos sexos,210
22212,Santaliestra y San Quílez,1998,Ambos sexos,97
50239,Santed,1998,Ambos sexos,78
22213,Sariñena,1998,Ambos sexos,4026
44210,Sarrión,1998,Ambos sexos,1025
50240,Sástago,1998,Ambos sexos,1479
22214,Secastilla,1998,Ambos sexos,163
50242,Sediles,1998,Ambos sexos,107
44211,Segura de los Baños,1998,Ambos sexos,52
22215,Seira,1998,Ambos sexos,210
22217,Sena,1998,Ambos sexos,596
22218,Senés de Alcubierre,1998,Ambos sexos,60
44212,Seno,1998,Ambos sexos,53
22220,Sesa,1998,Ambos sexos,268
50243,Sestrica,1998,Ambos sexos,486
22221,Sesué,1998,Ambos sexos,123
50244,Sierra de Luna,1998,Ambos sexos,263
22222,Siétamo,1998,Ambos sexos,373
50245,Sigüés,1998,Ambos sexos,181
44213,Singra,1998,Ambos sexos,99
